Data provided by Mevlut Erdogan and Detlef Diesing
temperature,conductivity,conducitivity_error
18,2.95e-05,8e-07
17,2.9e-05,8e-07
18,2.95e-05,8e-07
19,3e-05,8e-07
20,2.98e-05,8e-07
21,2.99e-05,8e-07
22,3e-05,8e-07
23,3e-05,8e-07
24,2.98e-05,8e-07
25,3.01e-05,8e-07
26,2.99e-05,8e-07
27,3.01e-05,8e-07
28,2.99e-05,8e-07
29,2.97e-05,8e-07
30,2.96e-05,8e-07
31,2.98e-05,8e-07
32,2.95e-05,8e-07
33,2.94e-05,8e-07
34,2.94e-05,8e-07
35,2.91e-05,8e-07
36,2.91e-05,8e-07
37,2.89e-05,8e-07
38,2.89e-05,8e-07
39,2.86e-05,8e-07
40,2.88e-05,8e-07
41,2.84e-05,8e-07
42,2.83e-05,2e-06
43,2.81e-05,8e-07
44,2.8e-05,1e-06
45,2.78e-05,8e-07
46,2.75e-05,8e-07
47,2.73e-05,2.2e-06
48,2.71e-05,8e-07
50,2.7e-05,3e-06
51,2.65e-05,8e-07
52,2.63e-05,8e-07
53,2.61e-05,8e-07
54,2.59e-05,8e-07
55,2.56e-05,8e-07
56,2.54e-05,8e-07
57,2.51e-05,8e-07
58,2.48e-05,8e-07
59,2.45e-05,8e-07
60,2.44e-05,8e-07
61,2.41e-05,8e-07
62,2.4e-05,8e-07
63,2.36e-05,8e-07
64,2.35e-05,8e-07
65,2.31e-05,3e-06
66,2.29e-05,8e-07
67,2.25e-05,8e-07
68,2.23e-05,8e-07
69,2.21e-05,8e-07
70,2.19e-05,8e-07
71,2.16e-05,8e-07
72,2.13e-05,8e-07
73,2.1e-05,8e-07
74,2.06e-05,8e-07
75,2.03e-05,8e-07
76,2.01e-05,8e-07
77,1.95e-05,8e-07
78,1.94e-05,8e-07
79,1.89e-05,8e-07
80,1.87e-05,8e-07
81,1.84e-05,8e-07
82,1.81e-05,8e-07
83,1.76e-05,8e-07
84,1.73e-05,8e-07
85,1.67e-05,8e-07
86,1.65e-05,8e-07
87,1.61e-05,8e-07
88,1.54e-05,8e-07
89,1.49e-05,8e-07
90,1.44e-05,8e-07
91,1.38e-05,8e-07
92,1.3e-05,8e-07
93,1.21e-05,8e-07
94,1.11e-05,8e-07
95,1.03e-05,8e-07
96,9.500000000000001e-06,8e-07
97,7.6e-06,8e-07
98,5.1e-06,8e-07
98,4.4e-06,1.8e-06
98,4e-06,1.2e-06
98,3.6e-06,1.8e-06
98,3.3e-06,1.8e-06
98,3e-06,1.2e-06
97.8,2.7e-06,1.2e-06
97.7,2.6e-06,1.2e-06
97.7,2.5e-06,1.2e-06
97.7,2.3e-06,1.8e-06
